EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionStatus,AttritionProbability,RiskCategory,ReasonCodes
EMP-0021,24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,Stayed,0.020025863050415024,Low,Low environment satisfaction; Low work-life balance; Income below workforce median
EMP-0022,36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,Left,0.7092939810077025,High,Low job satisfaction; No stock options; Income below workforce median
EMP-0023,34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,Stayed,0.04704234948641913,Low,Low job satisfaction; Low environment satisfaction; No stock options
EMP-0024,21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,Stayed,0.3304464622966634,Medium,Long distance from home; No stock options; Income below workforce median
EMP-0025,34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,Left,0.2951252386334234,Low,Low job satisfaction; Low environment satisfaction; No stock options; Income below workforce median
EMP-0026,53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,Stayed,0.010956938935878895,Low,Low work-life balance; Long period since promotion
EMP-0027,32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,Left,0.8959596312048618,High,Works overtime; Low job satisfaction; Low environment satisfaction; Long period since promotion
EMP-0028,42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,Stayed,0.21517546096430723,Low,Low job satisfaction; Long period since promotion
EMP-0029,44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,Stayed,0.029078375749903327,Low,Low environment satisfaction; Long period since promotion
EMP-0030,46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,Stayed,0.38596003053897426,Medium,Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock options
EMP-0031,33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,Stayed,0.2850473333322508,Low,No stock options; Income below workforce median
EMP-0032,44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,Stayed,0.03483939235818264,Low,Works overtime; No stock options
EMP-0033,30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,Stayed,0.3398939086801266,Medium,No stock options; Income below workforce median
EMP-0034,39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,Left,0.16417426058747073,Low,Income below workforce median
EMP-0035,24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,Left,0.585425463490303,Medium,Works overtime; Low environment satisfaction; Low work-life balance; Income below workforce median
EMP-0036,43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,Stayed,0.009949546805999321,Low,Low work-life balance; Income below workforce median
EMP-0037,50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,Left,0.9146248553324945,High,Works overtime; Low environment satisfaction; No stock options; Income below workforce median
EMP-0038,35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,Stayed,0.4346880854396301,Medium,No stock options; Income below workforce median
EMP-0039,36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,Stayed,0.7995146996640762,High,Works overtime; Low job satisfaction; Low environment satisfaction; Income below workforce median
EMP-0040,33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,Stayed,0.15908796588797883,Low,Low job satisfaction; Frequent business travel
EMP-0041,35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,Stayed,0.23312001200932692,Low,Income below workforce median
EMP-0042,27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,Stayed,0.36315534825694695,Medium,Low job satisfaction; Income below workforce median
EMP-0043,26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,Left,0.9505729049500311,High,Low environment satisfaction; Low work-life balance; Long distance from home; No stock options
EMP-0044,27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,Stayed,0.2534757598715469,Low,Frequent business travel; No stock options
EMP-0045,30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,Stayed,0.23902099212517947,Low,Frequent business travel; No stock options; Income below workforce median
EMP-0046,41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,Left,0.20673209844494136,Low,Low environment satisfaction; Long period since promotion; No stock options
EMP-0047,34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,Stayed,0.2655355713456033,Low,Low environment satisfaction; Long period since promotion; Long distance from home; No stock options
EMP-0048,37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,Stayed,0.5753743227013705,Medium,Low job satisfaction; Low environment satisfaction; Long distance from home; No stock options
EMP-0049,46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,Stayed,0.5380712847205043,Medium,Works overtime; Low environment satisfaction; Frequent business travel; No stock options
EMP-0050,35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,Stayed,0.16253213338295613,Low,No stock options; Income below workforce median
EMP-0051,48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,Left,0.9409772760876295,High,Works overtime; Low environment satisfaction; No stock options
EMP-0052,28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,Left,0.904313003526389,High,Works overtime; Low work-life balance; No stock options; Income below workforce median
EMP-0053,44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,Stayed,0.7537769644231574,High,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance
EMP-0054,35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,Stayed,0.3177382281290052,Medium,Works overtime; Low job satisfaction
EMP-0055,26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,Stayed,0.9113537019326419,High,Works overtime; Low work-life balance; Long distance from home; Income below workforce median
EMP-0056,33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,Stayed,0.25519637055112754,Low,Works overtime; Low environment satisfaction; Long period since promotion; Frequent business travel
EMP-0057,35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,Stayed,0.48060761459147694,Medium,Low job satisfaction; Low environment satisfaction; Low work-life balance; Frequent business travel
EMP-0058,35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Stayed,0.8771440970810537,High,Works overtime; Low job satisfaction; Long distance from home; Income below workforce median
EMP-0059,31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,Stayed,0.10145836049649519,Low,Low work-life balance
EMP-0060,37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,Stayed,0.050250816279690906,Low,Low environment satisfaction
EMP-0061,32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,Stayed,0.4149954358179796,Medium,Works overtime; Low environment satisfaction; Long period since promotion
EMP-0062,38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,Stayed,0.6939567896704407,High,Long period since promotion; Frequent business travel; Long distance from home; No stock options
EMP-0063,50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,Stayed,0.6047805457620635,High,Works overtime; Low environment satisfaction; Low work-life balance; Long period since promotion
EMP-0064,59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,Stayed,0.5593691751106601,Medium,Low job satisfaction; Low environment satisfaction; Low work-life balance; Long period since promotion
EMP-0065,36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,Stayed,0.06033769763287677,Low,Long period since promotion
EMP-0066,55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Stayed,0.045638889963626576,Low,Works overtime
EMP-0067,36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,Stayed,0.38899889609182403,Medium,Low job satisfaction; Low environment satisfaction; Frequent business travel; No stock options
EMP-0068,45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,Stayed,0.07425831225398422,Low,Low job satisfaction; Low environment satisfaction
EMP-0069,35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,Stayed,0.47011828420153684,Medium,Low job satisfaction; Low environment satisfaction; Low work-life balance; Frequent business travel
EMP-0070,36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Left,0.7502188503127915,High,Works overtime; Low work-life balance; Income below workforce median
EMP-0071,59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,Stayed,0.4793425750236086,Medium,Low environment satisfaction; Low work-life balance; Frequent business travel; No stock options
EMP-0072,29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,Stayed,0.024835209921707655,Low,Low job satisfaction; Income below workforce median
EMP-0073,31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,Stayed,0.2990677913918781,Low,Low job satisfaction; No stock options; Income below workforce median
EMP-0074,32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,Stayed,0.04473201469817315,Low,Low job satisfaction; Low environment satisfaction
EMP-0075,36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,Stayed,0.5049630033767843,Medium,Low environment satisfaction; No stock options; Income below workforce median
EMP-0076,31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,Stayed,0.027374379216839863,Low,No stock options; Income below workforce median
EMP-0077,35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,Stayed,0.2151846990033094,Low,Low job satisfaction; No stock options; Income below workforce median
EMP-0078,45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Stayed,0.11163499604406439,Low,Works overtime; Low job satisfaction; No stock options
EMP-0079,37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,Stayed,0.11065065438192391,Low,Low environment satisfaction; No stock options
EMP-0080,46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,Stayed,0.5593331645780985,Medium,Works overtime; Low job satisfaction; Low environment satisfaction
EMP-0081,30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,Stayed,0.584442127148566,Medium,Works overtime; Low work-life balance
EMP-0082,35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,Stayed,0.14198223215957534,Low,Low environment satisfaction; No stock options; Income below workforce median
EMP-0083,55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,Stayed,0.07199865772312986,Low,Low environment satisfaction
EMP-0084,38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,Stayed,0.08747213533114309,Low,Works overtime; Low environment satisfaction
EMP-0085,34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,Stayed,0.24758331577863874,Low,Low job satisfaction; Low environment satisfaction; No stock options; Income below workforce median
EMP-0086,56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,Stayed,0.05060764926227518,Low,Low work-life balance; No stock options
EMP-0087,23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,Stayed,0.8098848041266601,High,Low job satisfaction; Income below workforce median
EMP-0088,51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,Stayed,0.04477736087088449,Low,Income below workforce median
EMP-0089,30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,Stayed,0.034445233225268074,Low,Long period since promotion; Income below workforce median
EMP-0090,46,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,Left,0.17633906935577592,Low,Long period since promotion; No stock options
EMP-0091,40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,Stayed,0.25355292795205325,Low,Low job satisfaction; Low work-life balance; Long period since promotion; Frequent business travel
EMP-0092,51,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,Stayed,0.6198506481127529,High,Works overtime; Low work-life balance; Long distance from home; No stock options
EMP-0093,30,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,Stayed,0.2902418315414225,Low,Works overtime; Low job satisfaction; Low work-life balance
EMP-0094,46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,Stayed,0.5864201614894875,Medium,Works overtime; Low job satisfaction; Low work-life balance; Long period since promotion
EMP-0095,32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,Stayed,0.32799053355899843,Medium,Low environment satisfaction; Long period since promotion; No stock options
EMP-0096,54,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,Stayed,0.16408376968091776,Low,Low environment satisfaction; Low work-life balance
EMP-0097,24,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,Stayed,0.34300693202636523,Medium,Low environment satisfaction; Low work-life balance
EMP-0098,28,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,Stayed,0.1795952596305363,Low,Low environment satisfaction; No stock options; Income below workforce median
EMP-0099,58,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,Stayed,0.03989517357225213,Low,Low work-life balance; No stock options
EMP-0100,44,0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,Stayed,0.26989550653135685,Low,Low job satisfaction; Low environment satisfaction; Long distance from home; Income below workforce median
